,originalFileName,foundInList,recordedName,className
0,YKK227gPpRn4_30.000_40.000.wav,True,1619600168.4087973_1619600174.3850293.wav,alarm
1,Y-6p32k2WUCs_0.000_10.000.wav,True,1619600184.6286004_1619600190.5253522.wav,alarm
2,Y-Zjgm_sZd10_0.000_4.000.wav,False,1619600200.243851_1619600206.2202213.wav,alarm
3,Y-ikrSfqB0LU_0.000_3.000.wav,False,1619600213.0509899_1619600218.9750714.wav,alarm
4,Y26ubekDhG_Y_0.000_10.000.wav,False,1619600226.2566922_1619600232.1814718.wav,alarm
5,Y2xXpSgqrtDE_40.000_50.000.wav,True,1619600242.4236953_1619600248.749632.wav,alarm
6,Y2xo20i_OZrM_80.000_90.000.wav,True,1619600255.4286368_1619600261.404088.wav,alarm
7,Y3BcwNM72zcQ_10.000_20.000.wav,True,1619600268.2827723_1619600274.456016.wav,alarm
8,Y44U-fF5rsjM_0.000_10.000.wav,True,1619600280.4287176_1619600286.350957.wav,alarm
9,Y4oQdHNxBFFY_20.000_30.000.wav,True,1619600296.3867664_1619600302.3610961.wav,alarm
10,Y52Usv8FcO0w_30.000_40.000.wav,True,1619600308.935686_1619600314.9109397.wav,alarm
11,Y5pNzHcUedVo_10.000_20.000.wav,True,1619600325.1530447_1619600331.0768106.wav,alarm
12,Y6PrBwQNpLvo_10.000_20.000.wav,True,1619600337.8553648_1619600343.7820363.wav,alarm
13,Y6aNA6pqmpd8_0.000_6.000.wav,False,1619600348.500751_1619600354.4770668.wav,alarm
14,Y7fGU8SFid9E_130.000_140.000.wav,True,1619600364.924102_1619600370.797511.wav,alarm
15,Y9QEM0ThcgD4_20.000_30.000.wav,True,1619600378.7323883_1619600384.7097611.wav,alarm
16,Y9zWmlaj56pM_60.000_70.000.wav,True,1619600391.4892402_1619600397.4724915.wav,alarm
17,YCvvvGRbF5mU_30.000_40.000.wav,True,1619600407.6636887_1619600413.5924037.wav,alarm
18,YE8Yi41OgpWo_0.000_10.000.wav,True,1619600420.122462_1619600426.3501.wav,alarm
19,YEL3v64rTpG8_0.000_9.000.wav,False,1619600432.8292954_1619600438.806866.wav,alarm
20,YEenFsKjpsQc_200.000_210.000.wav,True,1619600445.283425_1619600451.3111289.wav,alarm
21,YEqCEkkd_c_I_0.000_10.000.wav,True,1619600461.7074516_1619600467.6047294.wav,alarm
22,YHoBWL3qAnGU_350.000_360.000.wav,True,1619600474.8651776_1619600480.8432028.wav,alarm
23,YI-uouJ_Zsv4_0.000_10.000.wav,True,1619600487.6214154_1619600493.5177603.wav,alarm
24,YI3kPmcHvMrg_30.000_40.000.wav,True,1619600501.5832577_1619600507.5066352.wav,alarm
25,YJ1EO9afbq4U_80.000_90.000.wav,True,1619600514.1850843_1619600520.1300516.wav,alarm
26,YJ1Qv0p8QsR8_150.000_160.000.wav,True,1619600527.2382894_1619600533.2121832.wav,alarm
27,YJQplKcC6Ejw_0.000_10.000.wav,True,1619600540.0903757_1619600545.9670587.wav,alarm
28,YL7bzKI26Pek_190.000_200.000.wav,True,1619600552.8461025_1619600558.7677336.wav,alarm
29,YL9_QOpRG8s8_0.000_10.000.wav,True,1619600568.5576904_1619600574.5332348.wav,alarm
30,YLgf99OrWOVM_420.000_430.000.wav,True,1619600584.5256412_1619600590.499954.wav,alarm
31,YMkF2nVQypFM_30.000_40.000.wav,True,1619600600.2875178_1619600606.1895225.wav,alarm
32,YMsy4mmS1DYc_110.000_120.000.wav,True,1619600613.3914745_1619600619.3322701.wav,alarm
33,YO8MSD706FEQ_230.000_240.000.wav,False,1619600626.197336_1619600632.1242301.wav,alarm
34,YP900eyYudeg_30.000_40.000.wav,True,1619600638.702746_1619600644.827756.wav,alarm
35,YPpKpwTI1REQ_410.000_420.000.wav,True,1619600651.2534745_1619600657.428663.wav,alarm
36,YSgbfq9K3Lqs_30.000_40.000.wav,True,1619600663.904886_1619600669.8314211.wav,alarm
37,YTLs3b0dV8Ew_10.000_20.000.wav,False,1619600680.0748727_1619600686.0509903.wav,alarm
38,YTgp484iUwEg_190.000_200.000.wav,True,1619600696.24354_1619600702.1717327.wav,alarm
39,YU10g6Ou2A58_10.000_20.000.wav,True,1619600709.0008967_1619600714.9432514.wav,alarm
40,YUhrqWmzFf8A_60.000_70.000.wav,False,1619600722.0574033_1619600727.9840782.wav,alarm
41,YUwqNcZ_b_Js_240.000_250.000.wav,False,1619600734.5138743_1619600740.4103982.wav,alarm
42,YVVJOjfAY0ec_40.000_50.000.wav,False,1619600747.6717427_1619600753.618477.wav,alarm
43,YVXVuWhara_o_60.000_70.000.wav,False,1619600760.68194_1619600766.6637268.wav,alarm
44,YVafgccb1ubk_320.000_330.000.wav,True,1619600773.4448817_1619600779.3286266.wav,alarm
45,YWmOE-cfIJe0_8.000_18.000.wav,False,1619600786.0549796_1619600791.9849656.wav,alarm
46,YXiu_VGdKi4o_0.000_4.000.wav,False,1619600798.8694584_1619600804.7999551.wav,alarm
47,YYTdVeMwwYkY_11.000_21.000.wav,False,1619600811.6314254_1619600817.5104465.wav,alarm
48,YYaTkV4qCqQc_19.000_29.000.wav,False,1619600823.7871866_1619600829.7110631.wav,alarm
49,YZFmyeuE40I8_500.000_510.000.wav,True,1619600836.1391654_1619600842.1140203.wav,alarm
50,Y_CZzm6jUxbo_30.000_40.000.wav,True,1619600852.3563535_1619600858.3315275.wav,alarm
51,Y_KNIJQJ-CHA_30.000_40.000.wav,True,1619600868.4246309_1619600874.653235.wav,alarm
52,Y_YoIeZgxdAI_0.000_10.000.wav,True,1619600880.931242_1619600886.8544488.wav,alarm
53,YaCVJyp88tpM_150.000_160.000.wav,True,1619600893.48349_1619600899.4092982.wav,alarm
54,YabTPRP0_F-A_180.000_190.000.wav,True,1619600906.0396984_1619600912.01507.wav,alarm
55,YaeEdZ2Pd7Mo_10.000_20.000.wav,True,1619600921.9079332_1619600927.8841088.wav,alarm
56,Yb2o_IFW-9HQ_2.000_12.000.wav,False,1619600934.5119383_1619600940.457205.wav,alarm
57,YbLe0AmKB8fY_560.000_570.000.wav,True,1619600947.7685335_1619600953.745007.wav,alarm
58,YbRUUPDD_nSQ_22.000_32.000.wav,True,1619600960.6238682_1619600966.552091.wav,alarm
59,Ybm0xs7iYwo4_60.000_70.000.wav,True,1619600970.2169218_1619600976.1963.wav,alarm
60,YeqlP9_HNy68_0.000_10.000.wav,False,1619600982.9248056_1619600988.802416.wav,alarm
61,YfjcfhE22AVQ_540.000_550.000.wav,True,1619600999.0945978_1619601004.969039.wav,alarm
62,YguQwU8X2IrY_0.000_10.000.wav,False,1619601011.5489545_1619601017.977973.wav,alarm
63,Yj2ZWCwZh9LQ_10.000_20.000.wav,True,1619601024.405144_1619601030.631053.wav,alarm
64,YkD_sM3ZF514_160.000_170.000.wav,True,1619601037.1079504_1619601043.386147.wav,alarm
