,originalFileName,foundInList,recordedName
0,Y5_OJsj6bcuo_260.000_270.000.wav,True,1619598958.720055_1619598964.6465597.wav
1,Y8EQHKEd5mm4_120.000_130.000.wav,True,1619598969.0648723_1619598975.0398424.wav
2,YA_0MlszhCDE_180.000_190.000.wav,True,1619598983.375314_1619598989.3208728.wav
3,YKs82WXeSK_I_200.000_210.000.wav,True,1619598993.971245_1619598999.9477274.wav
4,YTrdsiHl7xWA_30.000_40.000.wav,True,1619599006.474663_1619599012.3993666.wav
5,YZPDVc3hNaQs_80.000_90.000.wav,True,1619599017.520878_1619599023.4433048.wav
6,Y-TDsXxTaw2Q_520.000_530.000.wav,True,1619599029.5188577_1619599035.393413.wav
7,Y-WEfNbZO_LE_130.000_140.000.wav,True,1619599041.7705157_1619599047.6968668.wav
8,Y-YLpD1UW8qU_0.000_10.000.wav,True,1619599054.2746844_1619599060.2380812.wav
9,Y-hWRLlRjetY_10.000_20.000.wav,True,1619599068.5896184_1619599074.5692217.wav
10,Y-xyHS0dJ3R8_190.000_200.000.wav,True,1619599080.9480765_1619599086.8760395.wav
11,Y074nzzlXf_g_70.000_80.000.wav,True,1619599091.1939926_1619599097.062931.wav
12,Y0r2OVHasER0_140.000_150.000.wav,True,1619599101.3271153_1619599107.296396.wav
13,Y1Ulak3dMnGU_18.000_28.000.wav,False,1619599112.970627_1619599118.9930885.wav
14,Y1h5vQr1yu2E_100.000_110.000.wav,True,1619599128.8854182_1619599134.8586679.wav
15,Y1hL4MSPzMZ0_270.000_280.000.wav,True,1619599141.587692_1619599147.5621126.wav
16,Y1lqdBjdJgWg_50.000_60.000.wav,True,1619599154.089146_1619599159.9681468.wav
17,Y2MwW5vQm4wI_210.000_220.000.wav,True,1619599164.6316376_1619599170.6064968.wav
18,Y2RQQORu0diE_60.000_70.000.wav,True,1619599176.832792_1619599182.7049184.wav
19,Y2b7NoEYo56g_80.000_90.000.wav,True,1619599187.372945_1619599193.509929.wav
20,Y2dZ7ZV3vK28_30.000_40.000.wav,True,1619599199.645039_1619599205.6327393.wav
21,Y2hahuIUm410_40.000_50.000.wav,False,1619599211.311112_1619599217.246735.wav
22,Y2p230m8MT0I_60.000_70.000.wav,True,1619599221.619349_1619599227.525518.wav
23,Y2qXtaTZdvrY_20.000_30.000.wav,True,1619599232.228524_1619599238.159591.wav
24,Y2tJYLjtQQjM_170.000_180.000.wav,False,1619599242.629787_1619599248.6064177.wav
