,originalFileName,foundInList,recordedName
0,Yhtox2pJ-XVs_190.000_200.000.wav,True,1619594958.7047853_1619594964.721088.wav
1,Y-3k1Xl7eriw_140.000_150.000.wav,True,1619594972.9523168_1619594978.8666627.wav
2,Y-5SglSseBko_180.000_190.000.wav,True,1619594983.3363788_1619594989.3070755.wav
3,Y-6XpcYja_QQ_210.000_220.000.wav,True,1619594995.5789933_1619595001.546154.wav
4,Y-BvlRNfCz1w_50.000_60.000.wav,True,1619595006.4212694_1619595012.3905923.wav
5,Y-EvFB12zCk8_30.000_40.000.wav,True,1619595018.5138755_1619595024.4922035.wav
6,Y-H8nh3Z1__M_170.000_180.000.wav,True,1619595029.0615382_1619595034.991018.wav
7,Y-HyhSn6rU8A_100.000_110.000.wav,True,1619595040.2632215_1619595046.2422564.wav
8,Y-T5KPWf0llU_110.000_120.000.wav,True,1619595052.2178216_1619595058.1966205.wav
9,Y-_UM0h1qcBM_40.000_50.000.wav,True,1619595064.1749556_1619595070.1101854.wav
10,Y-aHF0scCGc4_470.000_480.000.wav,True,1619595074.4290352_1619595080.3074176.wav
11,Y-fy0rQoumZ0_230.000_240.000.wav,True,1619595084.877302_1619595090.8033257.wav
12,Y-ghB9TOCBR8_50.000_60.000.wav,False,1619595096.9310358_1619595102.91051.wav
13,Y-klrkvfrYXU_70.000_80.000.wav,True,1619595108.7872944_1619595114.7619903.wav
14,Y-rQOBpBoyXw_220.000_230.000.wav,True,1619595121.1893804_1619595127.366401.wav
15,Y-toGk_oBULM_330.000_340.000.wav,True,1619595132.0865846_1619595137.9145784.wav
16,Y-uIrOdeAZbQ_10.000_20.000.wav,True,1619595142.5329487_1619595148.760522.wav
17,Y0R06GmUsGww_40.000_50.000.wav,True,1619595153.0285082_1619595158.9564312.wav
18,Y0Tt-SGltms0_480.000_490.000.wav,True,1619595163.3241053_1619595169.451225.wav
19,Y0XURSgwK0VA_210.000_220.000.wav,False,1619595173.517979_1619595179.4461915.wav
20,Y0_zh25VgrPY_50.000_60.000.wav,True,1619595183.4118598_1619595189.3883305.wav
21,Y0hy1fvEH4Zs_30.000_40.000.wav,True,1619595193.255059_1619595199.181029.wav
22,Y0kLEZglWPAI_230.000_240.000.wav,True,1619595203.8531327_1619595209.7785983.wav
23,Y0oQT-Cbz6D0_60.000_70.000.wav,False,1619595216.0040042_1619595221.931332.wav
24,Y0yFZ4mGgqgk_90.000_100.000.wav,True,1619595226.4993434_1619595232.4771504.wav
25,Y10orprocVRw_360.000_370.000.wav,True,1619595236.9452045_1619595242.9226952.wav
26,Y16YYTRJavNE_110.000_120.000.wav,True,1619595247.2904146_1619595253.2683659.wav
27,Y1GUZ1qlXK8M_70.000_80.000.wav,True,1619595257.786335_1619595263.8136296.wav
28,Y1MMFztEi-Hk_240.000_250.000.wav,True,1619595270.039297_1619595275.9650931.wav
29,Y1f4p0vedfI8_220.000_230.000.wav,True,1619595280.6843932_1619595286.47809.wav
30,Y1j3EdSOu7ME_30.000_40.000.wav,True,1619595291.1817172_1619595297.0570955.wav
31,Y1np6pFWeYNE_200.000_210.000.wav,True,1619595301.6764388_1619595307.6012332.wav
32,Y1vXVjlZlCf4_30.000_40.000.wav,False,1619595312.1698487_1619595318.0697312.wav
33,Y2EoNTqlwPi0_90.000_100.000.wav,False,1619595322.4185822_1619595328.439758.wav
34,Y2HKrcHOigTU_130.000_140.000.wav,True,1619595336.3759573_1619595342.302547.wav
